"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.630343281E0,-1.136590764E-1,-1.004985496E-1,9.949954987E0,9.951111625E0
5.632852552E0,-9.451649338E-2,-1.004985496E-1,9.902098656E0,9.903059684E0
5.635361823E0,-1.136590764E-1,-1.196411327E-1,9.902098656E0,9.903473642E0
5.637850781E0,-9.930214286E-2,-1.196411327E-1,9.921240807E0,9.922459073E0
5.640339740E0,-1.088734269E-1,-1.052841991E-1,9.902098656E0,9.903256837E0
5.642828698E0,-1.280160099E-1,-1.292124242E-1,9.916455269E0,9.918123262E0
5.645336615E0,-1.375873089E-1,-1.435693651E-1,9.926026344E0,9.928018000E0
5.647844427E0,-9.930214286E-2,-1.004985496E-1,9.926026344E0,9.927031775E0
5.650352344E0,-1.471585929E-1,-1.196411327E-1,9.916455269E0,9.918268738E0
5.652860260E0,-9.930214286E-2,-1.004985496E-1,9.940383911E0,9.941387890E0
5.655368177E0,-7.537391037E-2,-1.052841991E-1,9.921240807E0,9.922085725E0
5.657876094E0,-1.136590764E-1,-1.196411327E-1,9.911669731E0,9.913043390E0
5.660383958E0,-9.451649338E-2,-1.100698411E-1,9.911669731E0,9.912731490E0
5.662833958E0,-9.930214286E-2,-1.244267747E-1,9.940383911E0,9.941658576E0
5.665283958E0,-5.144568533E-2,-1.196411327E-1,9.906884193E0,9.907740160E0
5.667787917E0,-1.088734269E-1,-1.004985496E-1,9.926026344E0,9.927132132E0
5.670275625E0,-8.973085135E-2,-9.092725813E-2,9.949954987E0,9.950775026E0
5.672763333E0,-9.930214286E-2,-1.339980662E-1,9.902098656E0,9.903503127E0
5.675267292E0,-9.451649338E-2,-1.244267747E-1,9.945169449E0,9.946396873E0
5.677771302E0,-9.451649338E-2,-9.092725813E-2,9.916455269E0,9.917322533E0
5.680275417E0,-9.930214286E-2,-1.004985496E-1,9.945169449E0,9.946172944E0
5.682785312E0,-6.101697683E-2,-1.100698411E-1,9.930811882E0,9.931609289E0
5.685289427E0,-1.088734269E-1,-1.004985496E-1,9.921240807E0,9.922347128E0
5.687793542E0,-9.930214286E-2,-1.196411327E-1,9.902098656E0,9.903319277E0
5.690297604E0,-9.930214286E-2,-8.614161611E-2,9.916455269E0,9.917326575E0
5.692801719E0,-1.184447184E-1,-7.178468257E-2,9.911669731E0,9.912637341E0
5.695305885E0,-9.451649338E-2,-8.135596663E-2,9.911669731E0,9.912454238E0
5.697810000E0,-9.930214286E-2,-1.387837082E-1,9.926026344E0,9.927493179E0
5.700314115E0,-1.184447184E-1,-1.292124242E-1,9.906884193E0,9.908434762E0
5.702818437E0,-1.040877849E-1,-1.483550072E-1,9.935597420E0,9.937250101E0
5.705329948E0,-1.136590764E-1,-1.244267747E-1,9.926026344E0,9.927456844E0
5.707834271E0,-9.930214286E-2,-9.571290761E-2,9.945169449E0,9.946125740E0
5.710338594E0,-8.015955985E-2,-8.614161611E-2,9.964311600E0,9.965006352E0
5.712842865E0,-1.040877849E-1,-1.052841991E-1,9.887741089E0,9.888849421E0
5.715347187E0,-8.494520187E-2,-1.196411327E-1,9.949954987E0,9.951036827E0
5.717851562E0,-1.040877849E-1,-1.052841991E-1,9.911669731E0,9.912775388E0
5.720357031E0,-9.930214286E-2,-1.339980662E-1,9.897313118E0,9.898718268E0
5.722898802E0,-8.973085135E-2,-1.244267747E-1,9.926026344E0,9.927211725E0
5.725404271E0,-7.058826834E-2,-1.100698411E-1,9.949954987E0,9.950814153E0
5.727909740E0,-1.088734269E-1,-1.292124242E-1,9.945169449E0,9.946604679E0
5.730415208E0,-1.136590764E-1,-1.100698411E-1,9.902098656E0,9.903362638E0
5.732920677E0,-1.040877849E-1,-8.614161611E-2,9.945169449E0,9.946087171E0
5.735426146E0,-8.973085135E-2,-1.052841991E-1,9.926026344E0,9.926990248E0
5.737976146E0,-9.930214286E-2,-1.148554832E-1,9.926026344E0,9.927187501E0
5.740526146E0,-8.494520187E-2,-9.571290761E-2,9.935597420E0,9.936421526E0
5.743052187E0,-1.232303679E-1,-1.483550072E-1,9.940383911E0,9.942254635E0
5.745578229E0,-8.015955985E-2,-1.052841991E-1,9.882955551E0,9.883841396E0
5.748104271E0,-9.930214286E-2,-8.135596663E-2,9.935597420E0,9.936426712E0
5.750613125E0,-1.040877849E-1,-1.196411327E-1,9.911669731E0,9.912938269E0
5.753121927E0,-8.015955985E-2,-1.100698411E-1,9.945169449E0,9.946101562E0
5.755630781E0,-1.471585929E-1,-1.052841991E-1,9.935597420E0,9.937244915E0
5.758139583E0,-1.232303679E-1,-1.100698411E-1,9.926026344E0,9.927401477E0
5.760589583E0,-1.232303679E-1,-7.178468257E-2,9.926026344E0,9.927050808E0
5.763039583E0,-1.088734269E-1,-1.196411327E-1,9.906884193E0,9.908204774E0
5.765507865E0,-1.280160099E-1,-1.244267747E-1,9.906884193E0,9.908492546E0
5.767976146E0,-1.040877849E-1,-1.292124242E-1,9.935597420E0,9.936982752E0
5.770479740E0,-9.930214286E-2,-1.100698411E-1,9.930811882E0,9.931918290E0
5.772983333E0,-1.088734269E-1,-1.339980662E-1,9.897313118E0,9.898818912E0
5.775486875E0,-1.328016520E-1,-1.052841991E-1,9.911669731E0,9.913118475E0
5.777991250E0,-1.040877849E-1,-1.196411327E-1,9.973882675E0,9.975143302E0
5.780528490E0,-8.973085135E-2,-1.052841991E-1,9.916455269E0,9.917420102E0
5.783032865E0,-1.040877849E-1,-1.196411327E-1,9.930811882E0,9.932077975E0
5.785537240E0,-1.136590764E-1,-1.100698411E-1,9.959526062E0,9.960782757E0
5.788041615E0,-9.930214286E-2,-1.244267747E-1,9.949954987E0,9.951228425E0
5.790545990E0,-9.930214286E-2,-1.196411327E-1,9.940383911E0,9.941599832E0
5.793050365E0,-1.328016520E-1,-1.244267747E-1,9.911669731E0,9.913340263E0
5.795554740E0,-1.184447184E-1,-1.100698411E-1,9.930811882E0,9.932128128E0
5.798059167E0,-1.328016520E-1,-1.148554832E-1,9.959526062E0,9.961073609E0
5.800563906E0,-1.375873089E-1,-1.148554832E-1,9.926026344E0,9.927644284E0
5.803080365E0,-1.040877849E-1,-1.148554832E-1,9.940383911E0,9.941592345E0
5.805585104E0,-1.040877849E-1,-1.196411327E-1,9.930811882E0,9.932077975E0
5.808089844E0,-1.184447184E-1,-9.571290761E-2,9.906884193E0,9.908054528E0
5.810594583E0,-1.088734269E-1,-1.148554832E-1,9.906884193E0,9.908148143E0
5.813099323E0,-1.232303679E-1,-1.196411327E-1,9.926026344E0,9.927512212E0
5.815604062E0,-9.451649338E-2,-1.052841991E-1,9.940383911E0,9.941390769E0
5.818109479E0,-1.280160099E-1,-7.657032460E-2,9.930811882E0,9.931932126E0
5.820636094E0,-9.930214286E-2,-1.244267747E-1,9.930811882E0,9.932087775E0
5.823141510E0,-8.973085135E-2,-9.571290761E-2,9.926026344E0,9.926893350E0
5.825646875E0,-1.184447184E-1,-1.531406492E-1,9.973882675E0,9.975761466E0
5.828152292E0,-7.058826834E-2,-1.004985496E-1,9.926026344E0,9.926786069E0
5.830657656E0,-8.973085135E-2,-1.196411327E-1,9.935597420E0,9.936722886E0
5.833207656E0,-8.015955985E-2,-1.100698411E-1,9.930811882E0,9.931745343E0
5.835757656E0,-9.451649338E-2,-9.571290761E-2,9.945169449E0,9.946079112E0
5.838307656E0,-1.184447184E-1,-1.052841991E-1,9.911669731E0,9.912936536E0
5.840816823E0,-9.451649338E-2,-9.571290761E-2,9.897313118E0,9.898227179E0
5.843350365E0,-1.088734269E-1,-9.571290761E-2,9.921240807E0,9.922299810E0
5.845859531E0,-8.973085135E-2,-1.100698411E-1,9.911669731E0,9.912687015E0
5.848368698E0,-1.136590764E-1,-8.614161611E-2,9.902098656E0,9.903125595E0
5.850877865E0,-1.040877849E-1,-1.196411327E-1,9.892526627E0,9.893797619E0
5.853387031E0,-8.973085135E-2,-1.004985496E-1,9.916455269E0,9.917370452E0
5.855896198E0,-1.423729509E-1,-1.100698411E-1,9.969097137E0,9.970721296E0
5.858346198E0,-1.423729509E-1,-1.196411327E-1,9.954740524E0,9.956477438E0
5.860796198E0,-8.015955985E-2,-1.387837082E-1,9.906884193E0,9.908180504E0
5.863275990E0,-1.232303679E-1,-1.004985496E-1,9.882955551E0,9.884234725E0
5.865755833E0,-1.328016520E-1,-1.004985496E-1,9.921240807E0,9.922638529E0
5.868235625E0,-1.375873089E-1,-1.244267747E-1,9.973882675E0,9.975607646E0
5.870740521E0,-1.280160099E-1,-1.148554832E-1,9.897313118E0,9.898807344E0
5.873245417E0,-1.088734269E-1,-8.135596663E-2,9.911669731E0,9.912601529E0
5.875750312E0,-8.973085135E-2,-1.004985496E-1,9.959526062E0,9.960437288E0
5.878255156E0,-9.930214286E-2,-1.435693651E-1,9.935597420E0,9.937130832E0
5.880761198E0,-1.328016520E-1,-1.387837082E-1,9.878170013E0,9.880037450E0
5.883304115E0,-7.537391037E-2,-7.178468257E-2,9.940383911E0,9.940928858E0
5.885810156E0,-9.930214286E-2,-1.339980662E-1,9.969097137E0,9.970492171E0
5.888316094E0,-1.136590764E-1,-8.614161611E-2,9.926026344E0,9.927050808E0
5.890822135E0,-9.930214286E-2,-7.657032460E-2,9.882955551E0,9.883751027E0
5.893328177E0,-1.232303679E-1,-1.196411327E-1,9.959526062E0,9.961006932E0
5.895834167E0,-1.136590764E-1,-1.244267747E-1,9.945169449E0,9.946597196E0
5.898340417E0,-1.184447184E-1,-1.100698411E-1,9.926026344E0,9.927343225E0
5.900855052E0,-1.280160099E-1,-1.292124242E-1,9.935597420E0,9.937262200E0
5.903361302E0,-6.580262631E-2,-9.571290761E-2,9.926026344E0,9.926705895E0
5.905867552E0,-1.232303679E-1,-7.178468257E-2,9.945169449E0,9.946191941E0
5.908373802E0,-8.494520187E-2,-8.614161611E-2,9.902098656E0,9.902837667E0
5.910880104E0,-8.973085135E-2,-1.100698411E-1,9.935597420E0,9.936612254E0
5.913386406E0,-1.088734269E-1,-1.100698411E-1,9.911669731E0,9.912878777E0
5.915891823E0,-9.930214286E-2,-1.244267747E-1,9.935597420E0,9.936872698E0
5.918369271E0,-1.040877849E-1,-1.292124242E-1,9.897313118E0,9.898703808E0
5.920874687E0,-8.973085135E-2,-1.004985496E-1,9.930811882E0,9.931725742E0
5.923380052E0,-1.232303679E-1,-1.148554832E-1,9.916455269E0,9.917885995E0
5.925885469E0,-8.015955985E-2,-7.657032460E-2,9.954740524E0,9.955357727E0
5.928390885E0,-1.088734269E-1,-1.100698411E-1,9.930811882E0,9.932018598E0
5.930896719E0,-1.088734269E-1,-1.196411327E-1,9.969097137E0,9.970409478E0
5.933418594E0,-1.040877849E-1,-1.339980662E-1,9.911669731E0,9.913121941E0
5.935924427E0,-8.494520187E-2,-1.052841991E-1,9.882955551E0,9.883881367E0
5.938430208E0,-1.184447184E-1,-1.100698411E-1,9.906884193E0,9.908203618E0
5.940935990E0,-1.280160099E-1,-8.614161611E-2,9.921240807E0,9.922440608E0
5.943441823E0,-9.930214286E-2,-9.092725813E-2,9.921240807E0,9.922154394E0
5.945947604E0,-9.451649338E-2,-1.100698411E-1,9.897313118E0,9.898376417E0
5.948453437E0,-1.136590764E-1,-1.292124242E-1,9.906884193E0,9.908378710E0
5.950959219E0,-1.328016520E-1,-9.092725813E-2,9.930811882E0,9.932116022E0
5.953465625E0,-9.930214286E-2,-9.092725813E-2,9.940383911E0,9.941295740E0
5.955982187E0,-1.040877849E-1,-9.571290761E-2,9.906884193E0,9.907893300E0
5.958498750E0,-9.451649338E-2,-1.100698411E-1,9.954740524E0,9.955797690E0
5.961005156E0,-8.973085135E-2,-1.100698411E-1,9.916455269E0,9.917472062E0
5.963511615E0,-1.136590764E-1,-1.148554832E-1,9.916455269E0,9.917771689E0
5.966018021E0,-1.136590764E-1,-1.004985496E-1,9.897313118E0,9.898475908E0
5.968524479E0,-1.136590764E-1,-1.148554832E-1,9.935597420E0,9.936911304E0
5.971030365E0,-1.184447184E-1,-8.135596663E-2,9.930811882E0,9.931851418E0
5.973515521E0,-1.280160099E-1,-1.196411327E-1,9.930811882E0,9.932357562E0
5.976021406E0,-7.058826834E-2,-1.100698411E-1,9.892526627E0,9.893390780E0
5.978527292E0,-8.015955985E-2,-1.148554832E-1,9.906884193E0,9.907874230E0
5.981033177E0,-1.375873089E-1,-1.244267747E-1,9.930811882E0,9.932544333E0
5.983539062E0,-1.040877849E-1,-1.100698411E-1,9.911669731E0,9.912827371E0
5.986044948E0,-1.040877849E-1,-1.004985496E-1,9.930811882E0,9.931865830E0
5.988550833E0,-8.015955985E-2,-1.100698411E-1,9.926026344E0,9.926960255E0
5.991056771E0,-8.973085135E-2,-1.196411327E-1,9.954740524E0,9.955863827E0
5.993562656E0,-8.973085135E-2,-1.052841991E-1,9.959526062E0,9.960486723E0
5.996069010E0,-1.375873089E-1,-1.244267747E-1,9.954740524E0,9.956468812E0
5.998592292E0,-1.136590764E-1,-9.571290761E-2,9.964311600E0,9.965419459E0
6.001098646E0,-1.136590764E-1,-1.292124242E-1,9.911669731E0,9.913163526E0
6.003605052E0,-1.088734269E-1,-1.100698411E-1,9.964311600E0,9.965514259E0
6.006111406E0,-9.930214286E-2,-1.339980662E-1,9.930811882E0,9.932212293E0
6.008617812E0,-1.088734269E-1,-1.052841991E-1,9.921240807E0,9.922396753E0
6.011123698E0,-6.580262631E-2,-6.699903309E-2,9.916455269E0,9.916899917E0
6.013615469E0,-1.136590764E-1,-1.339980662E-1,9.959526062E0,9.961075908E0
6.016121354E0,-1.136590764E-1,-1.387837082E-1,9.969097137E0,9.970710960E0
6.018627240E0,-9.930214286E-2,-1.339980662E-1,9.906884193E0,9.908287986E0
6.021133125E0,-1.136590764E-1,-8.614161611E-2,9.949954987E0,9.950976987E0
6.023639010E0,-8.973085135E-2,-1.339980662E-1,9.949954987E0,9.951261796E0
6.026144948E0,-6.580262631E-2,-1.387837082E-1,9.940383911E0,9.941570460E0
6.028651823E0,-8.494520187E-2,-1.100698411E-1,9.930811882E0,9.931785121E0
6.031197448E0,-8.973085135E-2,-1.244267747E-1,9.921240807E0,9.922426759E0
6.033704323E0,-1.136590764E-1,-9.571290761E-2,9.911669731E0,9.912783474E0
6.036211198E0,-1.375873089E-1,-9.571290761E-2,9.930811882E0,9.932226128E0
6.038718021E0,-1.088734269E-1,-9.571290761E-2,9.940383911E0,9.941440876E0
6.041224896E0,-1.136590764E-1,-1.387837082E-1,9.926026344E0,9.927647168E0
6.043731823E0,-1.040877849E-1,-1.387837082E-1,9.945169449E0,9.946682389E0
6.046238698E0,-1.040877849E-1,-8.614161611E-2,9.906884193E0,9.907805462E0
6.048745573E0,-8.494520187E-2,-1.387837082E-1,9.949954987E0,9.951285386E0
6.051251823E0,-1.280160099E-1,-1.244267747E-1,9.926026344E0,9.927631596E0
6.053737708E0,-1.232303679E-1,-1.244267747E-1,9.945169449E0,9.946711171E0
6.056243958E0,-9.930214286E-2,-1.100698411E-1,9.935597420E0,9.936703295E0
6.058750208E0,-1.280160099E-1,-1.339980662E-1,9.921240807E0,9.922971466E0
6.061256458E0,-7.058826834E-2,-1.339980662E-1,9.973882675E0,9.975032521E0
6.063762708E0,-8.973085135E-2,-1.052841991E-1,9.959526062E0,9.960486723E0
6.066269010E0,-9.930214286E-2,-9.092725813E-2,9.906884193E0,9.907799105E0
6.068775729E0,-1.184447184E-1,-1.196411327E-1,9.930811882E0,9.932238810E0
6.071300000E0,-1.184447184E-1,-1.004985496E-1,9.873384476E0,9.874606327E0
6.073806719E0,-1.040877849E-1,-1.196411327E-1,9.902098656E0,9.903368420E0
6.076313385E0,-9.930214286E-2,-1.579262912E-1,9.911669731E0,9.913425164E0
6.078820052E0,-9.930214286E-2,-9.092725813E-2,9.921240807E0,9.922154394E0
6.081326771E0,-1.088734269E-1,-9.092725813E-2,9.892526627E0,9.893543564E0
6.083833490E0,-1.232303679E-1,-1.196411327E-1,9.930811882E0,9.932297033E0
6.086340208E0,-1.136590764E-1,-1.100698411E-1,9.916455269E0,9.917717422E0
6.088846875E0,-1.136590764E-1,-1.004985496E-1,9.935597420E0,9.936755730E0
6.091353542E0,-1.232303679E-1,-1.004985496E-1,9.935597420E0,9.936869817E0
6.093859323E0,-8.015955985E-2,-1.052841991E-1,9.921240807E0,9.922123233E0
6.096365104E0,-1.232303679E-1,-9.571290761E-2,9.911669731E0,9.912897838E0
6.098871771E0,-6.580262631E-2,-9.571290761E-2,9.887741089E0,9.888423271E0
6.101378437E0,-1.375873089E-1,-8.614161611E-2,9.954740524E0,9.956063959E0
6.103885104E0,-1.280160099E-1,-8.135596663E-2,9.954740524E0,9.955896032E0
6.106391771E0,-8.015955985E-2,-1.387837082E-1,9.921240807E0,9.922535241E0
6.108898333E0,-9.930214286E-2,-1.196411327E-1,9.911669731E0,9.912889174E0
6.111401042E0,-1.136590764E-1,-1.339980662E-1,9.940383911E0,9.941936741E0
6.113907604E0,-9.930214286E-2,-1.244267747E-1,9.949954987E0,9.951228425E0
6.116414167E0,-8.015955985E-2,-1.196411327E-1,9.940383911E0,9.941427053E0
6.118920677E0,-9.930214286E-2,-1.196411327E-1,9.911669731E0,9.912889174E0
6.121427240E0,-9.930214286E-2,-1.100698411E-1,9.926026344E0,9.927133286E0
6.123933802E0,-7.537391037E-2,-1.052841991E-1,9.930811882E0,9.931655986E0
6.126440365E0,-7.537391037E-2,-1.148554832E-1,9.954740524E0,9.955688420E0
6.128946927E0,-1.280160099E-1,-7.178468257E-2,9.926026344E0,9.927111369E0
6.131453385E0,-7.058826834E-2,-1.100698411E-1,9.906884193E0,9.907747095E0
6.133956510E0,-1.280160099E-1,-9.092725813E-2,9.935597420E0,9.936838126E0
6.136462969E0,-9.930214286E-2,-1.100698411E-1,9.921240807E0,9.922348282E0
6.138969427E0,-1.040877849E-1,-1.100698411E-1,9.983454704E0,9.984604022E0
6.141475833E0,-1.280160099E-1,-1.339980662E-1,9.897313118E0,9.899047961E0
6.143982292E0,-1.040877849E-1,-1.244267747E-1,9.940383911E0,9.941707529E0
6.146488750E0,-1.088734269E-1,-9.571290761E-2,9.906884193E0,9.907944732E0
6.148996042E0,-1.136590764E-1,-1.148554832E-1,9.902098656E0,9.903416984E0
6.151530104E0,-1.088734269E-1,-1.483550072E-1,9.906884193E0,9.908593092E0
6.154037396E0,-1.328016520E-1,-1.435693651E-1,9.902098656E0,9.904029797E0
6.156544635E0,-1.040877849E-1,-1.100698411E-1,9.973882675E0,9.975033095E0
6.159051927E0,-1.232303679E-1,-1.292124242E-1,9.926026344E0,9.927632173E0
6.161559271E0,-8.973085135E-2,-1.435693651E-1,9.911669731E0,9.913115587E0
6.164066562E0,-8.973085135E-2,-1.100698411E-1,9.964311600E0,9.965323510E0
6.166573177E0,-1.040877849E-1,-9.571290761E-2,9.916455269E0,9.917463402E0
6.169058333E0,-8.494520187E-2,-9.092725813E-2,9.916455269E0,9.917235933E0
6.171564948E0,-7.537391037E-2,-1.244267747E-1,9.921240807E0,9.922307312E0
6.174071510E0,-9.930214286E-2,-1.004985496E-1,9.959526062E0,9.960528111E0
6.176578125E0,-7.537391037E-2,-1.244267747E-1,9.916455269E0,9.917522289E0
6.179084792E0,-8.973085135E-2,-1.196411327E-1,9.930811882E0,9.931937891E0
6.181591458E0,-8.015955985E-2,-9.092725813E-2,9.945169449E0,9.945908138E0
6.184141458E0,-1.136590764E-1,-1.387837082E-1,9.916455269E0,9.918077657E0
6.186691458E0,-6.580262631E-2,-1.196411327E-1,9.911669731E0,9.912610193E0
6.189227135E0,-5.144568533E-2,-1.148554832E-1,9.945169449E0,9.945965705E0
6.191762812E0,-1.519442350E-1,-1.052841991E-1,9.935597420E0,9.937316937E0
6.194298490E0,-9.930214286E-2,-1.100698411E-1,9.940383911E0,9.941489254E0
6.196808958E0,-1.232303679E-1,-1.052841991E-1,9.940383911E0,9.941705225E0
6.199319375E0,-9.930214286E-2,-9.571290761E-2,9.897313118E0,9.898274033E0
6.201829844E0,-9.451649338E-2,-9.571290761E-2,9.892526627E0,9.893441130E0
6.204340260E0,-1.040877849E-1,-1.148554832E-1,9.935597420E0,9.936806435E0
6.206790260E0,-1.040877849E-1,-1.196411327E-1,9.897313118E0,9.898583496E0
6.209240260E0,-9.930214286E-2,-1.579262912E-1,9.954740524E0,9.956488364E0
6.211713906E0,-1.280160099E-1,-1.339980662E-1,9.954740524E0,9.956465361E0
6.214187604E0,-9.451649338E-2,-1.148554832E-1,9.935597420E0,9.936710786E0
6.216661250E0,-8.015955985E-2,-1.387837082E-1,9.926026344E0,9.927320155E0
6.219165781E0,-8.494520187E-2,-1.339980662E-1,9.911669731E0,9.912939424E0
6.221670260E0,-1.471585929E-1,-9.571290761E-2,9.945169449E0,9.946718654E0
6.224175365E0,-1.088734269E-1,-1.196411327E-1,9.916455269E0,9.917774575E0
6.226704115E0,-9.451649338E-2,-1.052841991E-1,9.916455269E0,9.917464556E0
6.229209219E0,-9.451649338E-2,-1.196411327E-1,9.916455269E0,9.917627361E0
6.231714271E0,-8.973085135E-2,-7.657032460E-2,9.978668213E0,9.979365408E0
6.234219323E0,-8.973085135E-2,-1.148554832E-1,9.945169449E0,9.946237418E0
6.236724427E0,-8.973085135E-2,-8.135596663E-2,9.954740524E0,9.955477353E0
6.239229479E0,-1.328016520E-1,-1.100698411E-1,9.906884193E0,9.908385644E0
6.241734583E0,-1.136590764E-1,-1.100698411E-1,9.926026344E0,9.927287280E0
6.244239687E0,-6.580262631E-2,-7.178468257E-2,9.949954987E0,9.950431511E0
6.246745052E0,-8.973085135E-2,-9.571290761E-2,9.892526627E0,9.893396568E0
6.249256302E0,-1.136590764E-1,-1.483550072E-1,9.873384476E0,9.875153092E0
6.251767500E0,-8.494520187E-2,-1.196411327E-1,9.940383911E0,9.941466793E0
6.254272865E0,-1.423729509E-1,-1.196411327E-1,9.954740524E0,9.956477438E0
6.256778177E0,-1.184447184E-1,-1.148554832E-1,9.930811882E0,9.932182317E0
6.259283542E0,-9.451649338E-2,-1.052841991E-1,9.906884193E0,9.907894456E0
6.261788906E0,-1.040877849E-1,-1.339980662E-1,9.911669731E0,9.913121941E0
6.264294271E0,-9.930214286E-2,-1.244267747E-1,9.935597420E0,9.936872698E0
6.266799635E0,-9.451649338E-2,-1.196411327E-1,9.921240807E0,9.922412333E0
6.269305000E0,-7.058826834E-2,-1.244267747E-1,9.897313118E0,9.898346917E0
6.271811042E0,-1.088734269E-1,-8.135596663E-2,9.945169449E0,9.946098108E0
6.274345000E0,-1.088734269E-1,-1.004985496E-1,9.930811882E0,9.931917137E0
6.276851042E0,-8.973085135E-2,-9.571290761E-2,9.906884193E0,9.907752874E0
6.279357031E0,-9.451649338E-2,-1.148554832E-1,9.959526062E0,9.960636753E0
6.281863021E0,-1.040877849E-1,-1.148554832E-1,9.945169449E0,9.946377301E0
6.284369062E0,-9.930214286E-2,-1.244267747E-1,9.892526627E0,9.893807457E0
6.286875052E0,-8.015955985E-2,-1.244267747E-1,9.926026344E0,9.927129825E0
6.289381094E0,-1.088734269E-1,-1.004985496E-1,9.926026344E0,9.927132132E0
6.291887083E0,-1.088734269E-1,-1.148554832E-1,9.940383911E0,9.941643602E0
6.294393281E0,-7.537391037E-2,-1.052841991E-1,9.940383911E0,9.941227202E0
6.296902135E0,-9.451649338E-2,-1.100698411E-1,9.964311600E0,9.965367750E0
6.299410990E0,-1.040877849E-1,-1.052841991E-1,9.911669731E0,9.912775388E0
6.301917187E0,-9.930214286E-2,-1.100698411E-1,9.959526062E0,9.960629281E0
6.304423333E0,-1.184447184E-1,-7.657032460E-2,9.911669731E0,9.912673152E0
6.306929531E0,-9.451649338E-2,-1.148554832E-1,9.959526062E0,9.960636753E0
6.309435677E0,-1.136590764E-1,-1.292124242E-1,9.921240807E0,9.922733161E0
6.311940729E0,-8.494520187E-2,-1.483550072E-1,9.921240807E0,9.922713542E0
6.314411302E0,-1.184447184E-1,-1.148554832E-1,9.892526627E0,9.893902364E0
6.316916354E0,-1.184447184E-1,-1.100698411E-1,9.897313118E0,9.898633819E0
6.319421406E0,-1.375873089E-1,-1.244267747E-1,9.926026344E0,9.927759630E0
6.321926406E0,-1.232303679E-1,-1.292124242E-1,9.921240807E0,9.922847410E0
6.324431458E0,-1.280160099E-1,-1.148554832E-1,9.926026344E0,9.927516249E0
6.326936510E0,-1.280160099E-1,-1.339980662E-1,9.911669731E0,9.913402062E0
6.329441927E0,-1.567298770E-1,-1.052841991E-1,9.911669731E0,9.913467904E0
6.331962031E0,-8.973085135E-2,-7.657032460E-2,9.964311600E0,9.965009799E0
6.334467448E0,-1.567298770E-1,-1.292124242E-1,9.882955551E0,9.885042768E0
6.336972865E0,-1.328016520E-1,-1.100698411E-1,9.935597420E0,9.937094532E0
6.339478281E0,-1.328016520E-1,-1.004985496E-1,9.954740524E0,9.956133544E0
6.341983698E0,-1.088734269E-1,-8.614161611E-2,9.902098656E0,9.903071826E0
6.344489115E0,-1.232303679E-1,-9.092725813E-2,9.945169449E0,9.946348519E0
6.346994531E0,-8.973085135E-2,-1.100698411E-1,9.906884193E0,9.907901969E0
6.349499948E0,-9.930214286E-2,-1.627119333E-1,9.940383911E0,9.942211444E0
6.352005625E0,-8.015955985E-2,-1.387837082E-1,9.940383911E0,9.941675853E0
6.354520312E0,-9.451649338E-2,-1.148554832E-1,9.930811882E0,9.931925784E0
6.357025990E0,-9.930214286E-2,-9.571290761E-2,9.911669731E0,9.912629254E0
6.359531667E0,-1.040877849E-1,-1.196411327E-1,9.921240807E0,9.922508121E0
6.362037344E0,-9.930214286E-2,-1.052841991E-1,9.916455269E0,9.917511320E0
6.364543073E0,-8.494520187E-2,-1.052841991E-1,9.959526062E0,9.960444761E0
6.367048750E0,-1.375873089E-1,-1.052841991E-1,9.911669731E0,9.913183741E0
6.369553802E0,-1.280160099E-1,-1.148554832E-1,9.921240807E0,9.922731430E0
6.372033958E0,-8.973085135E-2,-1.004985496E-1,9.916455269E0,9.917370452E0
6.374539010E0,-1.136590764E-1,-1.148554832E-1,9.916455269E0,9.917771689E0
6.377044062E0,-1.184447184E-1,-1.387837082E-1,9.935597420E0,9.937272571E0
6.379549115E0,-1.471585929E-1,-9.092725813E-2,9.940383911E0,9.941888941E0
6.382054219E0,-9.930214286E-2,-9.092725813E-2,9.902098656E0,9.903014009E0
6.384559271E0,-8.494520187E-2,-1.339980662E-1,9.906884193E0,9.908154500E0
6.387064323E0,-9.451649338E-2,-1.244267747E-1,9.897313118E0,9.898546476E0
6.389569427E0,-6.101697683E-2,-1.196411327E-1,9.959526062E0,9.960431539E0
6.392075104E0,-1.232303679E-1,-1.052841991E-1,9.892526627E0,9.893854332E0
6.394606771E0,-9.930214286E-2,-9.571290761E-2,9.926026344E0,9.926984480E0
6.397112448E0,-9.451649338E-2,-1.244267747E-1,9.945169449E0,9.946396873E0
6.399618125E0,-1.088734269E-1,-1.339980662E-1,9.926026344E0,9.927527784E0
6.402123750E0,-1.040877849E-1,-1.387837082E-1,9.935597420E0,9.937111817E0
6.404629427E0,-9.451649338E-2,-7.657032460E-2,9.940383911E0,9.941128139E0
6.407135104E0,-1.232303679E-1,-9.571290761E-2,9.935597420E0,9.936822569E0
6.409640781E0,-1.088734269E-1,-1.100698411E-1,9.926026344E0,9.927233642E0
6.412146510E0,-1.136590764E-1,-1.244267747E-1,9.935597420E0,9.937026542E0
6.414652083E0,-9.451649338E-2,-1.196411327E-1,9.916455269E0,9.917627361E0
6.417155781E0,-1.040877849E-1,-1.292124242E-1,9.930811882E0,9.932197881E0
6.419659427E0,-1.088734269E-1,-1.004985496E-1,9.949954987E0,9.951058115E0
