"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.018097400E-1,3.784249067E0,-4.648058116E-1,9.150752068E0,9.913266306E0
2.043179170E-1,3.736392498E0,-4.169493318E-1,9.126823425E0,9.870834893E0
2.068619270E-1,3.717249870E0,-4.360919297E-1,9.030512810E0,9.775391776E0
2.093701040E-1,3.678964853E0,-4.743770957E-1,9.006584167E0,9.740553084E0
2.118782290E-1,3.635295868E0,-4.648058116E-1,8.839086533E0,9.568744496E0
2.143863540E-1,3.597010612E0,-4.600201547E-1,8.733802795E0,9.456712704E0
2.168945310E-1,3.525225878E0,-5.365904570E-1,8.666803360E0,9.371692872E0
2.194026560E-1,3.506083488E0,-5.461617708E-1,8.666803360E0,9.365062444E0
2.219050000E-1,3.491726398E0,-5.461617708E-1,8.628518105E0,9.324257107E0
2.243882290E-1,3.458226919E0,-5.748756528E-1,8.685946465E0,9.366722021E0
2.268714580E-1,3.429512978E0,-5.413761139E-1,8.805587769E0,9.465359122E0
2.293738020E-1,3.453441381E0,-5.365904570E-1,9.049654961E0,9.701053634E0
2.318760940E-1,3.443870068E0,-5.078766346E-1,9.122037888E0,9.763695762E0
2.343784370E-1,3.429512978E0,-4.791627228E-1,9.251250267E0,9.878096359E0
2.368807810E-1,3.434298754E0,-4.983053207E-1,9.346963882E0,9.970378626E0
2.393831250E-1,3.372085333E0,-4.743770957E-1,9.471389771E0,1.006494994E1
2.418866150E-1,3.362514019E0,-4.791627228E-1,9.576674461E0,1.016114123E1
2.443982290E-1,3.305086374E0,-5.174478889E-1,9.605388641E0,1.017127520E1
2.469017190E-1,3.252444267E0,-5.365904570E-1,9.734601021E0,1.027758630E1
2.494052080E-1,3.104089260E0,-5.940182209E-1,9.849455833E0,1.034408082E1
2.519086980E-1,3.032304525E0,-6.945167780E-1,1.004566765E1,1.051630462E1
2.544121870E-1,2.893520832E0,-7.663014531E-1,1.025683403E1,1.068467711E1
2.569157290E-1,2.769093990E0,-8.572286963E-1,1.054397297E1,1.093517666E1
2.594657290E-1,2.625524759E0,-9.194421172E-1,1.081196880E1,1.116411320E1
2.620157290E-1,2.376072884E0,-1.523031592E0,1.099382401E1,1.135030898E1
2.645332810E-1,4.018745422E0,-4.180261135E0,3.075076294E1,3.129271991E1
2.670671870E-1,3.214159012E0,-5.605186820E-1,1.391486168E1,1.429224877E1
2.696010940E-1,2.778665304E0,-8.620143533E-1,1.567238998E1,1.594013355E1
2.721186460E-1,2.227717876E0,-9.529415965E-1,1.449452305E1,1.469564640E1
2.746361980E-1,1.777867198E0,-1.058225870E0,1.266521072E1,1.283309068E1
2.771537500E-1,1.485344648E0,-1.144367456E0,1.100339508E1,1.116201276E1
2.796713020E-1,1.169492126E0,-1.149153113E0,9.806385040E0,9.942507343E0
2.821888020E-1,1.131206870E0,-1.000798106E0,8.982656479E0,9.108750916E0
2.846633850E-1,1.212562919E0,-8.285148144E-1,8.446663857E0,8.573381826E0
2.871379690E-1,3.707678795E0,-1.369890928E0,9.332606316E0,1.013513808E1
2.896468750E-1,4.492524624E0,-1.341177106E0,1.152562809E1,1.244273428E1
2.921557810E-1,1.317847013E0,-5.264209956E-2,9.600603104E0,9.690772513E0
2.946646870E-1,1.408774376E0,1.052841991E-1,1.033340454E1,1.042952441E1
2.971735940E-1,1.485344648E0,1.579262912E-1,1.060618591E1,1.071085286E1
2.996825520E-1,1.600798368E0,1.387837082E-1,1.075454140E1,1.087391268E1
3.021914580E-1,1.749153376E0,1.244267747E-1,1.068754196E1,1.083044656E1
3.047004170E-1,2.012363911E0,-3.828516230E-2,1.050568771E1,1.069675412E1
3.071531770E-1,2.342573404E0,-1.292124242E-1,1.024726295E1,1.051240905E1
3.096059370E-1,2.702095032E0,-2.973082066E-1,9.926026344E0,1.029153578E1
3.120586460E-1,3.061018467E0,-4.073780477E-1,9.686744690E0,1.016704547E1
3.145514580E-1,3.453441381E0,-5.653043389E-1,9.466604233E0,1.009269152E1
3.170442710E-1,4.238885403E0,-7.280163169E-1,9.399605751E0,1.033686343E1
3.195370830E-1,4.813760757E0,-8.572286963E-1,9.519247055E0,1.070155120E1
3.220299480E-1,5.244469166E0,-9.960124493E-1,9.686744690E0,1.106026764E1
3.245227600E-1,5.407180786E0,-1.177866936E0,9.792028427E0,1.124761287E1
3.270156250E-1,5.522036552E0,-1.331605792E0,9.686744690E0,1.122938486E1
3.295084370E-1,5.512465000E0,-1.523031592E0,9.471389771E0,1.106409146E1
3.320345310E-1,5.498108387E0,-1.685743570E0,9.020941734E0,1.069805202E1
3.345606770E-1,5.474180222E0,-1.695314884E0,8.475378036E0,1.023097134E1
3.370608330E-1,5.555535793E0,-1.724028707E0,7.843074322E0,9.764735928E0
3.395609900E-1,5.589035511E0,-1.786242127E0,7.216155052E0,9.300584531E0
3.420611460E-1,5.584249973E0,-1.738385677E0,6.765706062E0,8.943187969E0
3.445613020E-1,5.598606586E0,-1.652244091E0,6.330212116E0,8.610800873E0
3.470865620E-1,5.502893925E0,-1.570888042E0,5.980860233E0,8.277694118E0
3.496118750E-1,5.455037594E0,-1.513460279E0,5.693123341E0,8.028676761E0
3.521371350E-1,5.297111034E0,-1.374676585E0,5.549553871E0,7.794014960E0
3.546454690E-1,5.033900738E0,-1.220937729E0,5.458626747E0,7.525121364E0
3.571537500E-1,4.727619171E0,-1.067797065E0,5.410770416E0,7.264090452E0
3.596620830E-1,4.454239368E0,-8.476574421E-1,5.358128071E0,7.019138687E0
3.621704170E-1,4.114458561E0,-7.040880919E-1,5.315057278E0,6.758279600E0
3.646787500E-1,3.678964853E0,-4.935196638E-1,5.181059361E0,6.373517094E0
3.671871350E-1,-2.948555708E0,6.751348972E0,-2.083430672E1,2.209848479E1
3.696954690E-1,3.457628787E-1,4.019941986E-1,-9.361320496E0,9.376325118E0
3.721980730E-1,1.226919770E0,4.307080805E-2,1.147298622E1,1.153848344E1
3.746605730E-1,6.765705943E-1,-4.648058116E-1,9.476176262E0,9.511661724E0
3.771631770E-1,1.021137118E0,-3.068794906E-1,8.547162056E0,8.613412520E0
3.796657290E-1,1.145563841E0,-7.657032460E-2,7.350152969E0,7.439282775E0
3.821683330E-1,1.011565804E0,2.727817893E-1,6.157928944E0,6.246420107E0
3.846709370E-1,6.824569702E1,-2.107418633E1,5.982595062E1,9.317049350E1
3.871734900E-1,-1.157527924E0,1.867598057E0,4.960919380E0,5.425727093E0
3.896800000E-1,-1.291526079E0,2.547159672E0,8.915657043E0,9.361890969E0
3.922149480E-1,-5.497509837E-1,2.944966555E0,7.340581894E0,7.928379197E0
3.947214580E-1,-5.401797295E-1,3.232105255E0,6.349354744E0,7.145110509E0
3.972280210E-1,-7.938188910E-1,3.409173965E0,5.482554913E0,6.504692455E0
3.997345310E-1,-5.409573555E0,5.822335720E0,-2.302254295E1,2.435570905E1
4.022410420E-1,3.694398499E1,-9.696913719E0,3.306880951E1,5.052162235E1
4.047476040E-1,-1.423729509E-1,1.402792215E0,4.309473515E0,4.534275910E0
4.072541150E-1,-7.459624410E-1,1.579861164E0,4.151547432E0,4.504194416E0
4.097606250E-1,-2.751746029E-2,1.120439172E0,3.543172121E0,3.716209067E0
4.122666150E-1,1.237926769E1,-3.275176048E0,6.435496330E0,1.433138722E1
4.147546350E-1,5.948556900E0,-1.408176184E0,4.051048756E0,7.333436124E0
4.172606250E-1,-4.199403822E-1,5.551348329E-1,2.542374134E0,2.635942117E0
4.197665100E-1,7.892725468E0,-2.988037348E0,4.754538536E0,9.686543201E0
4.222725000E-1,1.801795483E0,1.508076429E0,-1.374257851E1,1.394199503E1
4.247784900E-1,-2.285145670E-1,2.440679073E-1,1.144367456E0,1.192210101E0
4.272844790E-1,4.573880672E0,-1.513460279E0,3.088535786E0,5.722761547E0
4.297915620E-1,5.679962635E0,-1.867598057E0,5.315057278E0,7.999983244E0
4.323433850E-1,1.217348576E0,-3.451646566E-1,3.672384501E0,3.884261077E0
4.348504690E-1,4.511667252E0,-1.100698411E-1,-1.168295622E0,4.661777710E0
4.373575000E-1,1.730010748E0,-4.073780477E-1,8.647661209E0,8.828416531E0
4.398645310E-1,7.226922512E0,-1.719243050E0,1.213819122E1,1.423094838E1
4.423716150E-1,1.954936147E0,-4.785645287E-3,6.406782627E0,6.698407413E0
4.448786460E-1,4.799404144E0,-1.244866014E0,1.093639565E1,1.200786081E1
4.473857290E-1,4.718048096E0,-1.130010486E0,1.000259686E1,1.111705201E1
4.498928120E-1,2.989233732E0,-5.940182209E-1,8.776873589E0,9.290957213E0
4.523994790E-1,4.942973614E0,-1.115653515E0,1.167398357E1,1.272633346E1
4.548923960E-1,3.218944550E0,-4.456632137E-1,9.624530792E0,1.015833710E1
4.573990620E-1,4.348955154E0,-5.940182209E-1,1.026161957E1,1.116096343E1
4.599056770E-1,3.463012457E0,-2.201396823E-1,9.184251785E0,9.817912080E0
4.624122920E-1,2.414358139E0,2.057827413E-1,7.004988194E0,7.412241992E0
4.649189580E-1,2.979662418E0,-6.699903309E-2,6.727420807E0,7.358061410E0
4.674255730E-1,2.074577332E0,1.435693651E-1,5.463412285E0,5.845798240E0
4.699318230E-1,3.391227961E0,1.579262912E-1,7.254439831E0,8.009510912E0
4.724228650E-1,3.439084291E0,3.349951804E-1,9.174679756E0,9.803788613E0
4.749291150E-1,4.104887009E0,4.067798555E-1,9.375677109E0,1.024299216E1
4.774353650E-1,6.135197163E0,-2.584248483E-1,1.138205910E1,1.293285339E1
4.799416150E-1,6.867999077E0,-1.063011408E0,1.132463169E1,1.328708725E1
4.824478650E-1,7.772486210E0,-1.752742529E0,1.261256790E1,1.491846230E1
4.849541670E-1,8.653642654E0,-2.428116798E0,1.445623779E1,1.702245850E1
4.874604170E-1,8.194221497E0,-2.729612350E0,1.444666672E1,1.683158426E1
4.899666670E-1,7.796414375E0,-3.112463951E0,1.382393456E1,1.617320857E1
4.924735420E-1,7.547560692E0,-3.093321562E0,1.406800270E1,1.626170381E1
4.950009900E-1,7.107281685E0,-2.921038151E0,1.334537029E1,1.539950730E1
4.975078650E-1,6.656832695E0,-2.983251572E0,1.300020504E1,1.490699643E1
5.000147400E-1,4.119244099E0,-1.781456470E0,1.289013577E1,1.364907906E1
5.025216150E-1,4.420739651E0,-1.153938770E0,1.154955673E1,1.242041764E1
5.050284900E-1,4.430311203E0,-1.058225870E0,1.107518005E1,1.197527088E1
5.075353650E-1,4.348955154E0,-8.811569214E-1,1.061097240E1,1.150141660E1
5.100419790E-1,4.353740692E0,-7.663014531E-1,9.854242325E0,1.080038739E1
5.125383850E-1,4.296313286E0,-6.658028960E-1,9.538389206E0,1.048248396E1
5.150450000E-1,4.023531437E0,-5.365904570E-1,9.155537605E0,1.001501889E1
5.175516150E-1,3.611367464E0,-5.270192027E-1,8.599804878E0,9.342182194E0
5.200581770E-1,3.300300598E0,-4.073780477E-1,8.662017822E0,9.278388527E0
5.225647920E-1,3.046661377E0,-3.547359705E-1,8.561519623E0,9.094371963E0
5.250714060E-1,2.716451883E0,-2.829512656E-1,8.494520187E0,8.922782384E0
5.275780210E-1,2.380858421E0,-2.297109663E-1,8.738588333E0,9.060032009E0
5.300846350E-1,2.050648928E0,-1.339980662E-1,8.762516975E0,9.000267788E0
5.325915100E-1,1.753939033E0,-1.292124242E-1,9.155537605E0,9.322921582E0
5.351067710E-1,1.384846091E0,-1.866401732E-1,9.011369705E0,9.119068879E0
5.376136460E-1,1.021137118E0,-2.201396823E-1,8.997013092E0,9.057451467E0
5.401205210E-1,5.180460811E-1,-2.973082066E-1,9.093324661E0,9.112920350E0
5.426273440E-1,9.212367237E-2,-3.738785386E-1,8.417949677E0,8.426751966E0
5.451342190E-1,-2.715853751E-1,-4.408775866E-1,8.102097511E0,8.118627701E0
5.476410940E-1,-5.832505226E-1,-5.078766346E-1,7.685148239E0,7.723964222E0
5.501478650E-1,-9.086744189E-1,-5.318048596E-1,6.880561352E0,6.960648686E0
5.526511460E-1,-1.004387259E0,-6.227321029E-1,5.971288681E0,6.087107486E0
5.551579170E-1,-1.210170031E0,-4.695914388E-1,4.735395908E0,4.910091856E0
5.576646350E-1,-1.042672515E0,2.584248483E-1,4.922036171E0,5.037895339E0
5.601713540E-1,-1.143171072E0,4.019941986E-1,4.156332970E0,4.329381387E0
5.626781250E-1,-1.004387259E0,4.785645306E-1,2.695514679E0,2.916096220E0
5.651848960E-1,-1.037886858E0,5.264210105E-1,1.182652593E0,1.659215286E0
5.676914060E-1,-1.296311617E0,4.594219327E-1,1.015154958E0,1.709395188E0
5.701869270E-1,-1.387238979E0,4.977070987E-1,3.445664644E-1,1.513562153E0
5.726934370E-1,-1.234098315E0,4.019941986E-1,-2.153540403E-1,1.315665364E0
5.751998960E-1,-1.171884894E0,1.483550072E-1,5.742774606E-1,1.313437481E0
5.777063020E-1,-1.401595831E0,2.871387079E-2,5.496912003E0,5.672859678E0
5.802128120E-1,-2.811566591E-1,-5.271986485E0,1.111196899E2,1.112450376E2
5.827192710E-1,4.966901779E0,-1.580459356E0,4.390949249E1,4.421777353E1
5.852257810E-1,-3.963710785E0,3.069393158E0,2.101137543E1,2.160115911E1
5.877322400E-1,-1.567298770E-1,2.009970993E-1,-5.195415974E0,5.201664275E0
5.902378650E-1,-3.912265003E-1,-5.413761139E-1,-3.116651475E-1,7.370762752E-1
5.927294270E-1,-2.476571500E-1,-3.786641955E-1,-2.201396823E-1,5.031720547E-1
5.952209370E-1,-3.194418252E-1,-4.073780477E-1,2.919243574E-1,5.943229626E-1
5.977265620E-1,-3.768695593E-1,-4.121637046E-1,1.387837082E-1,5.754741539E-1
6.002322400E-1,-2.955136001E-1,-3.308077157E-1,1.483550072E-1,4.677298801E-1
6.027378650E-1,-2.476571500E-1,-2.973082066E-1,3.349951804E-1,5.118085624E-1
6.052435420E-1,-1.471585929E-1,-2.638086975E-1,6.029912829E-1,6.744250645E-1
6.077492710E-1,-1.567298770E-1,-2.392822653E-1,7.226324677E-1,7.771859110E-1
6.102582810E-1,-3.585046530E0,1.086939692E0,1.637647820E1,1.679949507E1
6.127640100E-1,-1.377966785E1,-1.339980662E-1,5.995994949E1,6.152310741E1
6.152697400E-1,1.083350420E0,-1.456032634E0,1.436291814E0,2.314435857E0
6.177754170E-1,-2.747558594E0,9.002995491E-1,-3.893481445E1,3.904202087E1
6.202811460E-1,5.938985825E0,-1.422533035E0,3.291506958E1,3.347681225E1
6.227868750E-1,-4.965106845E-1,3.110669553E-1,3.937987900E1,3.938423740E1
6.252926040E-1,-1.195813060E0,-3.738785386E-1,-1.475175142E0,1.935431667E0
6.277983330E-1,-9.230313301E-1,-8.045865893E-1,-4.504488707E-1,1.304703262E0
6.303048440E-1,-1.262812138E0,-4.217349887E-1,-6.881159782E0,7.008774133E0
6.328274480E-1,-3.337987661E-1,6.077769399E-1,5.616552830E0,5.659194299E0
6.353500520E-1,-5.449653864E-1,1.192223907E0,4.073003006E1,4.075111942E1
6.378565620E-1,7.052844763E-1,-7.567301393E-1,7.871788502E0,7.939466034E0
6.403629690E-1,2.261217386E-1,-3.930211067E-1,4.594219327E-1,6.454960443E-1
6.428694790E-1,1.076770201E-2,-5.413761139E-1,4.237689018E0,4.272143754E0
6.453759900E-1,-6.358926296E-1,8.614161611E-2,1.240678501E1,1.242336887E1
6.478825000E-1,-5.258227587E-1,8.380861282E-1,1.704646873E1,1.707515664E1
6.503890100E-1,1.016949639E-1,-3.451646566E-1,1.084546852E1,1.085143622E1
6.528954690E-1,-1.184447184E-1,-6.658028960E-1,6.157928944E0,6.194950486E0
6.554017190E-1,-3.708875179E-2,1.339980662E-1,8.097311974E0,8.098505557E0
6.578999480E-1,-1.854437590E-1,1.866401732E-1,1.167398357E1,1.167694808E1
6.604061980E-1,4.905286431E-2,-3.930211067E-1,1.154477119E1,1.155156326E1
6.629125000E-1,-1.184447184E-1,-1.914258152E-1,9.155537605E0,9.158304528E0
6.654187500E-1,-6.101697683E-2,-1.914258115E-2,8.772088051E0,8.772321146E0
6.679250000E-1,-1.040877849E-1,-8.614161611E-2,1.004566765E1,1.004657619E1
6.704126560E-1,-5.623133108E-2,-1.722832322E-1,1.073539925E1,1.073692882E1
6.729003650E-1,-8.015955985E-2,-1.292124242E-1,1.001695347E1,1.001810752E1
6.753880210E-1,-6.101697683E-2,-1.339980662E-1,9.586245537E0,9.587376181E0
6.778926560E-1,-8.494520187E-2,-1.435693651E-1,9.782457352E0,9.783879583E0
6.803972400E-1,-8.973085135E-2,-1.004985496E-1,1.011266708E1,1.011356451E1
6.829018750E-1,-1.088734269E-1,-1.196411327E-1,1.000738239E1,1.000868971E1
6.854064580E-1,-1.040877849E-1,-9.092725813E-2,9.844670296E0,9.845640419E0
