"event","experiment time","system time","system time text"
"START",0.000000000E0,1712781346.123,"2024-04-10 17:35:46.123 UTC-03:00"
"PAUSE",3.546846441E1,1712781381.591,"2024-04-10 17:36:21.591 UTC-03:00"
