"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.470637500E-1,-1.878738403E-2,5.535855889E-3,1.588630676E-2,2.521876765E-2
3.520721350E-1,-8.993223310E-3,3.382043540E-2,2.978897095E-2,4.595740100E-2
3.570528120E-1,-8.729681373E-3,-4.389896989E-3,9.064674377E-2,9.117187444E-2
3.620335410E-1,-2.744489908E-2,-1.844550669E-2,9.872817993E-2,1.041187433E-1
3.670142700E-1,-1.291823387E-2,6.760358810E-4,-1.802444458E-3,1.306088040E-2
3.719872390E-1,-1.276184618E-2,-1.346038282E-2,-6.784248352E-2,7.033241922E-2
3.769662500E-1,-3.119394183E-3,1.513509452E-2,-4.799175262E-2,5.041835009E-2
3.819453640E-1,-3.105312586E-3,7.887333632E-4,-3.315258026E-2,3.330703596E-2
3.869244270E-1,-3.092035651E-3,1.019917428E-2,9.803771973E-3,1.448094560E-2
3.918983850E-1,-2.653741837E-2,-8.802101016E-3,2.856349945E-2,3.996980181E-2
3.968763540E-1,-7.312864065E-3,-4.182426631E-2,3.762340546E-2,5.672977941E-2
4.018543220E-1,-3.081589937E-2,-4.134112597E-2,-1.957416534E-2,5.515302620E-2
4.068323430E-1,-6.813347340E-3,-2.191798389E-2,-1.091003418E-1,1.114885837E-1
4.118144790E-1,-1.620614529E-2,-2.633059025E-2,-1.360406876E-1,1.395098842E-1
4.167926560E-1,7.713124156E-3,-2.381920815E-3,-1.342954636E-1,1.345378659E-1
4.217708330E-1,-2.077902853E-2,-2.591040730E-2,-4.749488831E-2,5.795585949E-2
4.267490620E-1,3.198832273E-3,-3.039038181E-2,-1.852989197E-2,3.573744158E-2
4.317306250E-1,1.258800924E-2,-1.661911607E-3,-3.248977661E-2,3.488273944E-2
4.367089060E-1,1.235248148E-2,-1.112407446E-2,-4.155540466E-2,4.475690436E-2
4.416872910E-1,1.217272878E-2,3.128260374E-3,-1.120176315E-1,1.127205000E-1
4.466656770E-1,-3.531497717E-2,-1.107421517E-2,-1.106843948E-1,1.167082735E-1
4.516405200E-1,2.927139401E-3,8.014008403E-3,-1.330423355E-1,1.333156237E-1
4.566186970E-1,2.657894790E-2,7.898390293E-3,-6.523704529E-2,7.088509800E-2
4.615968750E-1,1.204243302E-2,7.838070393E-3,-2.188682556E-2,2.618183862E-2
4.665750520E-1,7.248088717E-3,1.251116395E-2,-1.216793060E-2,1.889768633E-2
4.715527080E-1,2.134054899E-2,-6.590217352E-3,-5.464363098E-2,5.903199474E-2
4.765307810E-1,-3.111895919E-2,-3.021465242E-2,-6.350994110E-2,7.690791546E-2
4.815089580E-1,-2.612431347E-2,7.981941104E-3,-1.054363251E-1,1.089174448E-1
4.864871350E-1,-6.924852729E-3,7.872745395E-3,-9.955501556E-2,1.001056184E-1
4.914681770E-1,-2.040073276E-3,2.208150923E-2,-5.584907532E-2,6.009054970E-2
4.964464060E-1,-1.136775315E-2,2.187706530E-2,-1.261520386E-2,2.769431650E-2
5.014247390E-1,-1.596592367E-2,-6.802111864E-3,5.384922028E-2,5.657665569E-2
5.064030200E-1,-2.530655265E-2,1.220038533E-2,1.163482666E-3,2.811804938E-2
5.113828120E-1,-2.038769424E-2,7.312357426E-3,-2.728462219E-2,3.483646445E-2
5.163610930E-1,3.434896469E-3,1.674731076E-2,-6.018352509E-2,6.256458761E-2
5.213394790E-1,1.284931600E-2,2.140085399E-2,-5.957508087E-2,6.459327933E-2
5.263178640E-1,1.279422641E-2,1.173630357E-2,-2.091407776E-3,1.748733934E-2
5.313158850E-1,-6.275102496E-3,3.061470389E-2,2.163505554E-2,3.800937561E-2
5.362951560E-1,-6.192341447E-3,1.143144071E-2,8.306407928E-2,8.407534833E-2
5.412745310E-1,-1.079963148E-2,6.660521030E-3,5.855083466E-2,5.990988916E-2
5.462539060E-1,-1.072676480E-2,2.564866841E-2,1.080513000E-3,2.782238636E-2
5.512098950E-1,-1.539720595E-2,1.720041037E-3,-1.315784454E-2,2.032637118E-2
5.561880720E-1,8.486479521E-3,1.596324146E-2,1.196861267E-3,1.811844059E-2
5.611662500E-1,-1.998125017E-2,3.961506486E-2,1.541900635E-2,4.697179450E-2
5.661444270E-1,-5.541756749E-3,-3.366321325E-3,3.899860382E-2,3.953396372E-2
5.711219270E-1,8.763760328E-3,3.465086222E-2,7.185268402E-2,8.025144203E-2
5.761000000E-1,8.707419038E-3,-3.594115376E-3,9.017944336E-2,9.067010983E-2
5.810781250E-1,3.905996680E-3,1.108795404E-3,8.936595917E-2,8.945815164E-2
5.860563020E-1,1.333245635E-2,1.076415181E-3,-2.058315277E-2,2.454748948E-2
5.910358330E-1,-1.049540937E-2,-8.393839002E-3,-2.040004730E-2,2.442891895E-2
5.960140100E-1,2.284373343E-2,5.948767066E-3,-1.547336578E-2,2.822497184E-2
6.009922390E-1,2.266739309E-2,1.067359746E-2,5.586338043E-2,6.122461650E-2
6.059704680E-1,-1.542936265E-2,-2.736634016E-2,1.170959473E-1,1.212371340E-1
6.109496350E-1,-1.086100936E-3,1.382961869E-3,1.303377151E-1,1.303495769E-1
6.159278640E-1,-1.055021584E-2,-1.769483089E-2,2.952766418E-2,3.600412541E-2
6.209060930E-1,-2.953544259E-2,-2.231757343E-2,-1.345539093E-2,3.938862777E-2
6.258843750E-1,-2.931930125E-2,-7.908612490E-3,-6.557750702E-2,7.226739932E-2
6.308867700E-1,1.373648643E-2,-3.150267899E-2,-2.229213715E-2,4.096399909E-2
6.358661970E-1,9.000480175E-3,-1.216402650E-2,2.063369751E-2,2.558752933E-2
6.408456770E-1,-1.015083492E-2,-3.107915819E-2,1.011838913E-1,1.063350054E-1
6.458251560E-1,-3.858929873E-2,-2.134412527E-2,8.609390259E-2,9.673089332E-2
6.507769790E-1,1.388284564E-2,-4.967886209E-2,7.112884521E-2,8.786373179E-2
6.557550000E-1,-1.011100411E-2,-1.129862666E-2,-6.242465973E-2,6.423962571E-2
6.607330720E-1,-5.597472191E-4,-3.022097051E-2,-6.190586090E-2,6.889089918E-2
6.657111970E-1,-5.317032337E-4,-3.468860686E-2,-5.664062500E-2,6.642094967E-2
6.706893220E-1,4.243552685E-3,-1.532343030E-2,2.455806732E-2,2.925600667E-2
6.756673430E-1,1.852831244E-2,-9.727478027E-4,6.234264374E-2,6.504498312E-2
6.806454160E-1,-1.494787633E-2,-1.048414409E-2,5.232429504E-2,5.541830145E-2
6.856235410E-1,1.838617027E-2,-5.670785904E-3,2.339649200E-2,3.029199412E-2
6.906049470E-1,3.906130791E-3,1.804330945E-2,-6.702232361E-2,6.951842012E-2
6.955831770E-1,2.763734758E-2,8.531168103E-3,-9.495162964E-2,9.925933599E-2
7.005614060E-1,-1.011431217E-3,1.329222322E-2,-8.466053009E-2,8.570362621E-2
7.055396350E-1,-1.037201285E-2,8.461996913E-3,-3.646755219E-2,3.884670391E-2
7.105201040E-1,4.033505917E-3,1.786673069E-2,2.081966400E-2,2.772990524E-2
7.154983850E-1,-1.017096639E-2,-1.079562306E-2,2.064704895E-2,2.542232611E-2
7.204767700E-1,-2.430833876E-2,3.568843007E-3,-1.751232147E-2,3.017139999E-2
7.254551040E-1,-5.089476705E-3,2.251057327E-2,-5.060577393E-2,5.561989785E-2
7.304529160E-1,-2.401760221E-2,-1.568834484E-2,-1.166629791E-1,1.201383373E-1
7.354321870E-1,-9.497344494E-3,1.301547885E-2,-1.061906815E-1,1.074060663E-1
7.404115100E-1,-1.404081285E-2,1.768608391E-2,-7.206344604E-2,7.551875426E-2
7.453908850E-1,-9.256556630E-3,8.018434048E-3,2.350521088E-2,2.650422728E-2
7.503451040E-1,5.087226629E-3,3.167249262E-2,1.856040955E-2,3.706096958E-2
7.553231250E-1,-4.534423351E-3,2.663755417E-2,-3.382968903E-2,4.329628329E-2
