"event","experiment time","system time","system time text"
"START",0.000000000E0,1712781786.213,"2024-04-10 17:43:06.213 UTC-03:00"
"PAUSE",3.325817046E1,1712781819.471,"2024-04-10 17:43:39.471 UTC-03:00"
